Source Name	Comment[ENA_SAMPLE]	Characteristics[organism]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[individual]	Characteristics[organism part]	Characteristics[biopsy site]	Characteristics[phenotype]	Characteristics[single cell quality]	Material Type	Description	Protocol REF	Protocol REF	Performer	Extract Name	Comment[single cell isolation]	Comment[library construction]	Comment[end bias]	Comment[input molecule]	Comment[primer]	Comment[spike in]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[spike sequence file]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[single cell identifier]
P10	ERS559161	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P10	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P10	sequencing assay	ERX604329	P10.fastq.gz	P10.fastq.gz	ERR647963	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647963/ERR647963.fastq.gz	9
P9	ERS559141	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P9	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P9	sequencing assay	ERX604309	P9.fastq.gz	P9.fastq.gz	ERR647964	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647964/ERR647964.fastq.gz	8
P36	ERS559153	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P36	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P36	sequencing assay	ERX604321	P36.fastq.gz	P36.fastq.gz	ERR647965	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647965/ERR647965.fastq.gz	34
P8	ERS559168	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P8	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P8	sequencing assay	ERX604336	P8.fastq.gz	P8.fastq.gz	ERR647966	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647966/ERR647966.fastq.gz	7
P23	ERS559151	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P23	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P23	sequencing assay	ERX604319	P23.fastq.gz	P23.fastq.gz	ERR647967	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647967/ERR647967.fastq.gz	22
P15	ERS559162	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P15	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P15	sequencing assay	ERX604330	P15.fastq.gz	P15.fastq.gz	ERR647968	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647968/ERR647968.fastq.gz	14
P7	ERS559146	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P7	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P7	sequencing assay	ERX604314	P7.fastq.gz	P7.fastq.gz	ERR647969	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647969/ERR647969.fastq.gz	6
P22	ERS559144	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P22	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P22	sequencing assay	ERX604312	P22.fastq.gz	P22.fastq.gz	ERR647970	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647970/ERR647970.fastq.gz	21
P26	ERS559169	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P26	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P26	sequencing assay	ERX604337	P26.fastq.gz	P26.fastq.gz	ERR647971	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647971/ERR647971.fastq.gz	25
P34	ERS559157	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P34	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P34	sequencing assay	ERX604325	P34.fastq.gz	P34.fastq.gz	ERR647972	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647972/ERR647972.fastq.gz	32
P17	ERS559134	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P17	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P17	sequencing assay	ERX604302	P17.fastq.gz	P17.fastq.gz	ERR647973	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647973/ERR647973.fastq.gz	16
P11	ERS559145	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P11	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P11	sequencing assay	ERX604313	P11.fastq.gz	P11.fastq.gz	ERR647974	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647974/ERR647974.fastq.gz	10
P37	ERS559133	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P37	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P37	sequencing assay	ERX604301	P37.fastq.gz	P37.fastq.gz	ERR647975	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647975/ERR647975.fastq.gz	35
P35	ERS559149	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P35	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P35	sequencing assay	ERX604317	P35.fastq.gz	P35.fastq.gz	ERR647976	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647976/ERR647976.fastq.gz	33
P16	ERS559137	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P16	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P16	sequencing assay	ERX604305	P16.fastq.gz	P16.fastq.gz	ERR647977	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647977/ERR647977.fastq.gz	15
P1	ERS559156	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P1	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P1	sequencing assay	ERX604324	P1.fastq.gz	P1.fastq.gz	ERR647978	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647978/ERR647978.fastq.gz	1
P12	ERS559136	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P12	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P12	sequencing assay	ERX604304	P12.fastq.gz	P12.fastq.gz	ERR647979	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647979/ERR647979.fastq.gz	11
P5	ERS559147	Homo sapiens	female	adult	normal	pooled cells from two individuals, 33 and 36 years old	ovary	ovarian cortex	DDX4 antibody-positive	OK	cell	DDX4 FACS sorted single cell. FACS was performed on pooled ovarian cortical tissue from two individuals, 33 and 36 years old.	P-MTAB-41471	P-MTAB-41449	Sophie Petropoulos	P5	mouth pipetting	smart-seq2	none	polyA RNA	oligo-dT	ERCC mix 1	not applicable	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	ERCC92.fa	P-MTAB-41450	Sophie Petropoulos	P5	sequencing assay	ERX604315	P5.fastq.gz	P5.fastq.gz	ERR647980	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR647/ERR647980/ERR647980.fastq.gz	4
